Session,Assessor,Product,Fineness of texture,Reflection,Transparency,Thickness Flow,Peaking,Stringy,Cushion,Instant whitening,Covering,Pick up,Bounce,Firmness,Spreadability,Watery,Greasiness,Cooling,Shininess instant ,Smoothness instant ,Stickiness instant ,Residue instant ,Shininess 2 min ,Smoothness 2 min ,Stickiness 2 min ,Residue 2 min ,Shininess 5 min ,Smoothness 5 min ,Stickiness 5 min ,Residue 5 min ,Speed of absorption,Overall_Texture,Color_Tone,Overall_Spreadability,Absorption_Speed,Odour_after_applying,Smoothness,Leaves_no_residue_feel,Stickiness,Moisturizing,Brightening_effect,Tightening,Overall_Liking
1,2,SK-II,11.5,10.5,6.5,5.5,1.5,1.5,9,2.5,3,7,6.5,5,9.5,6.5,8.5,7.5,7.5,7,7.5,7.5,6.5,6,6.5,8.5,5.5,5,5.5,5.5,7.5,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
1,3,SK-II,8,9,6.5,6,3,2.5,8,1.5,1.5,6,6,3.5,8.5,6.5,8,7,9,6,9,9,8,6.5,8.5,7.5,8,6,8,8,7.5,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
1,6,SK-II,10,7.5,5,3,1,1.5,8,0.5,0.5,5,3.5,4,7.5,6,8,5,7.5,6,7.5,8,5.5,4,5,6,4.5,5,3.5,2.5,8,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
1,7,SK-II,12,12,6,6.5,1,4.5,5,0,0,4,2.5,3.5,10,9,6.5,6.5,7,6,6.5,6.5,6.5,7,6,6,5.5,8.5,5,5,7,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
1,10,SK-II,9,11,2.5,7.5,1,1,5,1,0.5,4.5,5,5,12,6,8,8,9,7.5,8,7.5,8,6,7,6.5,7,5.5,6.5,5.5,7,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
1,11,SK-II,10,12,4,2,2.5,3,3,2,2,10.5,4.5,2,10,8,4,4,8,6,4.5,8,7,4.5,2,6,6,6,3,5,8.5,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
1,12,SK-II,12.5,10,6.5,5,1,4.5,8.5,1,1,8.5,7,1.5,12,6.5,7.5,3,7.5,7.5,5.5,7.5,7,8,4.5,7,6.5,9,2.5,6.5,8.5,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
1,14,SK-II,10.5,12,4.5,5.5,3,3,6.5,0.5,0.5,9,3,3,9,7,5,6,6.5,6.5,6.5,6,6,6.5,6,6,5,6.5,5,5,10,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
1,15,SK-II,10,12,7.5,5,1,3,10,0,0,4.5,1.5,3,11.5,6,7.5,7.5,9.5,8,6.5,8.5,9,7.5,7,7.5,8,8,6.5,6.5,7.5,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
1,16,SK-II,10.5,9,9,6,2.5,2.5,5.5,2.5,2,4,2.5,3.5,9,8,6.5,5,6.5,6,6.5,6,5.5,6.5,5.5,5.5,5,8,4,4,9,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
